standard_number,title,descriptive_title,year,id,source,detail_url,pdf_url
IS 100,IS 100 : 1950,IS 100 : 1950,1950,17934,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+100&id=17934,https://archive.org/search?query=title%3A%22IS%20100%22
IS 1000,IS 1000 : 2021,IS 1000 : 2021,2021,34124,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+1000&id=34124,https://archive.org/search?query=title%3A%22IS%201000%22
IS 1000 Amd. 1,IS 1000 Amd. 1 : 2025,IS 1000 Amd. 1 : 2025,2025,53840,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+1000+Amd.+1&id=53840,https://archive.org/search?query=title%3A%22IS%201000%20Amd.%201%22
IS 10000 : Part 1,IS 10000 : Part 1 : 1980,"IS 10000-2: Methods of tests for internal combustion engines, Part 2: Standard reference conditions",1980,902,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10000+%3a+Part+1&id=902,https://archive.org/download/gov.in.is.10000.2.1980/gov.in.is.10000.2.1980.pdf
IS 10000 : Part 10,IS 10000 : Part 10 : 1980,"IS 10000-2: Methods of tests for internal combustion engines, Part 2: Standard reference conditions",1980,832,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10000+%3a+Part+10&id=832,https://archive.org/download/gov.in.is.10000.2.1980/gov.in.is.10000.2.1980.pdf
IS 10000 : Part 11,IS 10000 : Part 11 : 1980,"IS 10000-2: Methods of tests for internal combustion engines, Part 2: Standard reference conditions",1980,913,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10000+%3a+Part+11&id=913,https://archive.org/download/gov.in.is.10000.2.1980/gov.in.is.10000.2.1980.pdf
IS 10000 : Part 12,IS 10000 : Part 12 : 1980,"IS 10000-2: Methods of tests for internal combustion engines, Part 2: Standard reference conditions",1980,17935,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10000+%3a+Part+12&id=17935,https://archive.org/download/gov.in.is.10000.2.1980/gov.in.is.10000.2.1980.pdf
IS 10000 : Part 13,IS 10000 : Part 13 : 2002,"IS 10000-2: Methods of tests for internal combustion engines, Part 2: Standard reference conditions",2002,914,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10000+%3a+Part+13&id=914,https://archive.org/download/gov.in.is.10000.2.1980/gov.in.is.10000.2.1980.pdf
IS 10000 : Part 13 Amd. 1,IS 10000 : Part 13 Amd. 1 : 2005,"IS 10000-2: Methods of tests for internal combustion engines, Part 2: Standard reference conditions",2005,24523,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10000+%3a+Part+13+Amd.+1&id=24523,https://archive.org/download/gov.in.is.10000.2.1980/gov.in.is.10000.2.1980.pdf
IS 10000 : Part 2,IS 10000 : Part 2 : 1980,"IS 10000-2: Methods of tests for internal combustion engines, Part 2: Standard reference conditions",1980,915,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10000+%3a+Part+2&id=915,https://archive.org/download/gov.in.is.10000.2.1980/gov.in.is.10000.2.1980.pdf
IS 10000 : Part 2 Amd. 1,IS 10000 : Part 2 Amd. 1 : 1985,"IS 10000-2: Methods of tests for internal combustion engines, Part 2: Standard reference conditions",1985,24524,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10000+%3a+Part+2+Amd.+1&id=24524,https://archive.org/download/gov.in.is.10000.2.1980/gov.in.is.10000.2.1980.pdf
IS 10000 : Part 3,IS 10000 : Part 3 : 1980,"IS 10000-2: Methods of tests for internal combustion engines, Part 2: Standard reference conditions",1980,916,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10000+%3a+Part+3&id=916,https://archive.org/download/gov.in.is.10000.2.1980/gov.in.is.10000.2.1980.pdf
IS 10000 : Part 3 Amd. 1,IS 10000 : Part 3 Amd. 1 : 1985,"IS 10000-2: Methods of tests for internal combustion engines, Part 2: Standard reference conditions",1985,24525,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10000+%3a+Part+3+Amd.+1&id=24525,https://archive.org/download/gov.in.is.10000.2.1980/gov.in.is.10000.2.1980.pdf
IS 10000 : Part 4,IS 10000 : Part 4 : 1980,"IS 10000-2: Methods of tests for internal combustion engines, Part 2: Standard reference conditions",1980,17936,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10000+%3a+Part+4&id=17936,https://archive.org/download/gov.in.is.10000.2.1980/gov.in.is.10000.2.1980.pdf
IS 10000 : Part 4 Amd. 1,IS 10000 : Part 4 Amd. 1 : 1985,"IS 10000-2: Methods of tests for internal combustion engines, Part 2: Standard reference conditions",1985,31702,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10000+%3a+Part+4+Amd.+1&id=31702,https://archive.org/download/gov.in.is.10000.2.1980/gov.in.is.10000.2.1980.pdf
IS 10000 : Part 5,IS 10000 : Part 5 : 1980,"IS 10000-2: Methods of tests for internal combustion engines, Part 2: Standard reference conditions",1980,926,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10000+%3a+Part+5&id=926,https://archive.org/download/gov.in.is.10000.2.1980/gov.in.is.10000.2.1980.pdf
IS 10000 : Part 5 Amd. 1,IS 10000 : Part 5 Amd. 1 : 1985,"IS 10000-2: Methods of tests for internal combustion engines, Part 2: Standard reference conditions",1985,24774,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10000+%3a+Part+5+Amd.+1&id=24774,https://archive.org/download/gov.in.is.10000.2.1980/gov.in.is.10000.2.1980.pdf
IS 10000 : Part 6,IS 10000 : Part 6 : 1980,"IS 10000-2: Methods of tests for internal combustion engines, Part 2: Standard reference conditions",1980,927,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10000+%3a+Part+6&id=927,https://archive.org/download/gov.in.is.10000.2.1980/gov.in.is.10000.2.1980.pdf
IS 10000 : Part 6 Amd. 1,IS 10000 : Part 6 Amd. 1 : 1985,"IS 10000-2: Methods of tests for internal combustion engines, Part 2: Standard reference conditions",1985,24775,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10000+%3a+Part+6+Amd.+1&id=24775,https://archive.org/download/gov.in.is.10000.2.1980/gov.in.is.10000.2.1980.pdf
IS 10000 : Part 7,IS 10000 : Part 7 : 1980,"IS 10000-2: Methods of tests for internal combustion engines, Part 2: Standard reference conditions",1980,928,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10000+%3a+Part+7&id=928,https://archive.org/download/gov.in.is.10000.2.1980/gov.in.is.10000.2.1980.pdf
IS 10000 : Part 7 Amd. 1,IS 10000 : Part 7 Amd. 1 : 1982,"IS 10000-2: Methods of tests for internal combustion engines, Part 2: Standard reference conditions",1982,24776,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10000+%3a+Part+7+Amd.+1&id=24776,https://archive.org/download/gov.in.is.10000.2.1980/gov.in.is.10000.2.1980.pdf
IS 10000 : Part 7 Amd. 2,IS 10000 : Part 7 Amd. 2 : 1985,"IS 10000-2: Methods of tests for internal combustion engines, Part 2: Standard reference conditions",1985,24777,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10000+%3a+Part+7+Amd.+2&id=24777,https://archive.org/download/gov.in.is.10000.2.1980/gov.in.is.10000.2.1980.pdf
IS 10000 : Part 8,IS 10000 : Part 8 : 1980,"IS 10000-2: Methods of tests for internal combustion engines, Part 2: Standard reference conditions",1980,929,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10000+%3a+Part+8&id=929,https://archive.org/download/gov.in.is.10000.2.1980/gov.in.is.10000.2.1980.pdf
